,order_date
1364,12
1365,8
1366,8
1367,3
1368,4
1369,11
1370,11
1371,12
1372,9
1373,8
1374,3
1375,4
1376,5
1377,1
1378,12
1379,1
1380,7
1381,5
1382,9
1383,5
1384,9
1385,5
1386,4
1387,4
1388,10
1389,8
1390,9
1391,2
1392,12
1393,6
1394,10
1395,10
1396,12
1397,3
1398,7
1399,7
1400,8
1401,6
1402,10
1403,12
1404,3
1405,5
1406,12
1407,3
1408,6
1409,4
1410,11
1411,9
1412,12
1413,4
1414,6
1415,2
1416,10
1417,2
1418,2
1419,3
1420,8
1421,2
1422,3
1423,11
1424,10
1425,10
1426,6
1427,9
1428,6
1429,9
1430,8
1431,10
1432,3
1433,3
1434,7
1435,9
1436,3
1437,5
1438,7
1439,7
1440,9
1441,12
1442,3
1443,8
1444,7
1445,10
1446,9
1447,10
1448,12
1449,11
1450,6
1451,7
1452,1
1453,12
1454,1
1455,7
1456,10
1457,5
1458,7
1459,11
1460,6
1461,11
1462,12
1463,9
1464,6
1465,10
1466,5
1467,3
1468,5
1469,12
1470,4
1471,8
1472,12
1473,12
1474,9
1475,10
1476,9
1477,6
1478,7
1479,8
1480,4
1481,12
1482,3
1483,12
1484,1
1485,10
1486,12
1487,8
1488,4
1489,6
1490,12
1491,9
1492,1
1493,11
1494,12
1495,12
1496,4
1497,2
1498,12
1499,8
1500,1
1501,12
1502,8
1503,4
1504,9
1505,8
1506,2
1507,8
1508,11
1509,12
1510,4
1511,8
1512,1
1513,1
1514,1
1515,10
1516,4
1517,6
1518,10
1519,6
1520,3
1521,12
1522,12
1523,8
1524,5
1525,12
1526,1
1527,9
1528,8
1529,11
1530,8
1531,5
1532,7
1533,1
1534,2
1535,11
1536,11
1537,2
1538,2
1539,8
1540,4
1541,10
1542,6
1543,8
1544,11
1545,10
1546,3
1547,1
1548,11
1549,5
1550,12
1551,5
1552,4
1553,2
1554,6
1555,9
1556,2
1557,12
1558,9
1559,8
1560,7
1561,1
1562,4
1563,7
1564,12
1565,7
1566,12
1567,8
1568,9
1569,6
1570,10
1571,5
1572,9
1573,5
1574,11
1575,6
1576,11
1577,10
1578,12
1579,8
1580,4
1581,10
1582,11
1583,12
1584,7
1585,9
1586,12
1587,2
1588,3
1589,8
1590,3
1591,9
1592,11
1593,9
1594,11
1595,9
1596,11
1597,1
1598,1
1599,9
1600,10
1601,1
1602,11
1603,2
1604,4
1605,6
1606,10
1607,5
1608,8
1609,9
1610,10
1611,1
1612,7
1613,6
1614,11
1615,6
1616,5
1617,12
1618,2
1619,4
1620,6
1621,12
1622,9
1623,9
1624,4
1625,11
1626,11
1627,12
1628,9
1629,10
1630,8
1631,12
1632,7
1633,6
1634,12
1635,12
1636,9
1637,4
1638,9
1639,9
1640,3
1641,11
1642,3
1643,7
1644,10
1645,8
1646,3
1647,8
1648,11
1649,9
1650,1
1651,6
1652,8
1653,11
1654,2
1655,6
1656,11
1657,5
1658,10
1659,6
1660,12
1661,11
1662,3
1663,4
1664,3
1665,11
1666,1
1667,5
1668,8
1669,3
1670,1
1671,8
1672,9
1673,6
1674,2
1675,8
1676,5
1677,10
1678,10
1679,11
1680,11
1681,11
1682,11
1683,10
1684,10
1685,8
1686,12
1687,5
1688,12
1689,1
1690,10
1691,10
1692,6
1693,8
1694,5
1695,11
1696,10
1697,10
1698,5
1699,8
1700,5
1701,8
1702,2
1703,7
1704,3
1705,10
1706,5
1707,12
1708,3
1709,11
1710,11
1711,6
1712,7
1713,6
1714,9
1715,3
1716,7
1717,12
1718,5
1719,6
1720,12
1721,10
1722,6
1723,12
1724,10
1725,8
1726,4
1727,3
1728,12
1729,9
